Wavelength (nm),PY3 (mm-1/(mg/g)),PY65 (mm-1/(mg/g)),PY74 (mm-1/(mg/g)),PY100 (mm-1/(mg/g)),PY154 (mm-1/(mg/g)),PY175 (mm-1/(mg/g)),PR122 (mm-1/(mg/g)),PR170 (mm-1/(mg/g)),PR202 (mm-1/(mg/g)),PV15 (mm-1/(mg/g)),PV19 (mm-1/(mg/g)),PV23 (mm-1/(mg/g)),PG7 (mm-1/(mg/g)),PB15:3 (mm-1/(mg/g)),PO73 (mm-1/(mg/g)),Black (mm-1/(mg/g)),Ink (mm-1/(mg/g)),PW4 (mm-1/(mg/g)),PW6 (mm-1/(mg/g)),Al2O3 (mm-1/(mg/g))
452,0.519112636,0.453062925,0.487580485,0.185684737,0.359202623,0.282621028,0.072621936,0.170873645,0.06380721,0.000721563,0.067053318,0.019556961,0.104892109,0.035768534,0.36870692,0.521743403,0.469887836,1.71E-06,2.33E-06,1.65E-06
451,0.548056083,0.456677983,0.508041119,0.186470861,0.365686743,0.294607941,0.07132704,0.169737263,0.062472931,0.000722195,0.066211973,0.019048688,0.108719756,0.037049587,0.36494751,0.521804514,0.470690863,1.71E-06,2.34E-06,1.65E-06
450,0.577238016,0.4599589,0.527865454,0.187197448,0.372422666,0.307107914,0.070101808,0.168594227,0.06114191,0.000720765,0.065354211,0.018581678,0.112715414,0.038349696,0.361434931,0.521817656,0.471557676,1.71E-06,2.33E-06,1.66E-06
449,0.606787313,0.462766034,0.54699908,0.187827191,0.379333088,0.320077695,0.068908551,0.167519617,0.059843529,0.000723957,0.064497698,0.018221484,0.116690991,0.039693656,0.357732482,0.521821541,0.472396724,1.71E-06,2.34E-06,1.66E-06
448,0.63606808,0.465342494,0.565402346,0.188453425,0.386308709,0.333413258,0.067749528,0.166429384,0.058563682,0.000726883,0.063594455,0.017812149,0.120705965,0.041063458,0.353555361,0.521634096,0.473110848,1.70E-06,2.31E-06,1.66E-06
447,0.665018794,0.467295301,0.582853939,0.188962251,0.393503598,0.347074229,0.066617472,0.16535749,0.057239255,0.000734496,0.062653373,0.017373438,0.124935449,0.042498071,0.349150396,0.521367679,0.473882627,1.70E-06,2.33E-06,1.66E-06
446,0.69397971,0.469063546,0.599498227,0.189453738,0.400970348,0.361189365,0.065553673,0.164282112,0.055959056,0.000747363,0.061748311,0.017101039,0.129277795,0.043917934,0.344042916,0.521115028,0.474665837,1.70E-06,2.33E-06,1.66E-06
445,0.722529568,0.470415363,0.615334885,0.189906003,0.408519955,0.375622592,0.064576405,0.163274113,0.054653197,0.0007586,0.060815709,0.016857082,0.13357671,0.045529316,0.338308867,0.521025234,0.475552597,1.69E-06,2.33E-06,1.67E-06
444,0.7504583,0.471326428,0.630105177,0.190336886,0.41620098,0.390362466,0.063616095,0.162245497,0.05330103,0.000772265,0.059848711,0.016641634,0.137700453,0.047406851,0.332024198,0.520749792,0.476315335,1.69E-06,2.36E-06,1.67E-06
443,0.777786329,0.471770287,0.644050242,0.190776666,0.424092025,0.405583117,0.062764912,0.161282634,0.052048671,0.000786993,0.058911143,0.016524391,0.141776232,0.04932475,0.325340804,0.520752158,0.477198601,1.69E-06,2.40E-06,1.67E-06
